season,round,race_name,circuit_id,circuit_name,country,locality,date,race_url
2006,6,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,Spain,Barcelona,2006-05-14,https://en.wikipedia.org/wiki/2006_Spanish_Grand_Prix
2006,7,Monaco Grand Prix,monaco,Circuit de Monaco,Monaco,Monte Carlo,2006-05-28,https://en.wikipedia.org/wiki/2006_Monaco_Grand_Prix
2006,8,British Grand Prix,silverstone,Silverstone Circuit,UK,Silverstone,2006-06-11,https://en.wikipedia.org/wiki/2006_British_Grand_Prix
2006,9,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,Canada,Montreal,2006-06-25,https://en.wikipedia.org/wiki/2006_Canadian_Grand_Prix
2006,10,United States Grand Prix,indianapolis,Indianapolis Motor Speedway,USA,Indianapolis,2006-07-02,https://en.wikipedia.org/wiki/2006_United_States_Grand_Prix
2006,11,French Grand Prix,magny_cours,Circuit de Nevers Magny-Cours,France,Magny Cours,2006-07-16,https://en.wikipedia.org/wiki/2006_French_Grand_Prix
2006,12,German Grand Prix,hockenheimring,Hockenheimring,Germany,Hockenheim,2006-07-30,https://en.wikipedia.org/wiki/2006_German_Grand_Prix
2006,13,Hungarian Grand Prix,hungaroring,Hungaroring,Hungary,Budapest,2006-08-06,https://en.wikipedia.org/wiki/2006_Hungarian_Grand_Prix
2006,14,Turkish Grand Prix,istanbul,Istanbul Park,Turkey,Istanbul,2006-08-27,https://en.wikipedia.org/wiki/2006_Turkish_Grand_Prix
2006,15,Italian Grand Prix,monza,Autodromo Nazionale di Monza,Italy,Monza,2006-09-10,https://en.wikipedia.org/wiki/2006_Italian_Grand_Prix
2006,16,Chinese Grand Prix,shanghai,Shanghai International Circuit,China,Shanghai,2006-10-01,https://en.wikipedia.org/wiki/2006_Chinese_Grand_Prix
2006,17,Japanese Grand Prix,suzuka,Suzuka Circuit,Japan,Suzuka,2006-10-08,https://en.wikipedia.org/wiki/2006_Japanese_Grand_Prix
2006,18,Brazilian Grand Prix,interlagos,Autódromo José Carlos Pace,Brazil,São Paulo,2006-10-22,https://en.wikipedia.org/wiki/2006_Brazilian_Grand_Prix
2007,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Australia,Melbourne,2007-03-18,https://en.wikipedia.org/wiki/2007_Australian_Grand_Prix
2007,2,Malaysian Grand Prix,sepang,Sepang International Circuit,Malaysia,Kuala Lumpur,2007-04-08,https://en.wikipedia.org/wiki/2007_Malaysian_Grand_Prix
2007,3,Bahrain Grand Prix,bahrain,Bahrain International Circuit,Bahrain,Sakhir,2007-04-15,https://en.wikipedia.org/wiki/2007_Bahrain_Grand_Prix
2007,4,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,Spain,Barcelona,2007-05-13,https://en.wikipedia.org/wiki/2007_Spanish_Grand_Prix
2007,5,Monaco Grand Prix,monaco,Circuit de Monaco,Monaco,Monte Carlo,2007-05-27,https://en.wikipedia.org/wiki/2007_Monaco_Grand_Prix
2007,6,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,Canada,Montreal,2007-06-10,https://en.wikipedia.org/wiki/2007_Canadian_Grand_Prix
2007,7,United States Grand Prix,indianapolis,Indianapolis Motor Speedway,USA,Indianapolis,2007-06-17,https://en.wikipedia.org/wiki/2007_United_States_Grand_Prix
2007,8,French Grand Prix,magny_cours,Circuit de Nevers Magny-Cours,France,Magny Cours,2007-07-01,https://en.wikipedia.org/wiki/2007_French_Grand_Prix
2007,9,British Grand Prix,silverstone,Silverstone Circuit,UK,Silverstone,2007-07-08,https://en.wikipedia.org/wiki/2007_British_Grand_Prix
2007,10,European Grand Prix,nurburgring,Nürburgring,Germany,Nürburg,2007-07-22,https://en.wikipedia.org/wiki/2007_European_Grand_Prix
2007,11,Hungarian Grand Prix,hungaroring,Hungaroring,Hungary,Budapest,2007-08-05,https://en.wikipedia.org/wiki/2007_Hungarian_Grand_Prix
2007,12,Turkish Grand Prix,istanbul,Istanbul Park,Turkey,Istanbul,2007-08-26,https://en.wikipedia.org/wiki/2007_Turkish_Grand_Prix
2007,13,Italian Grand Prix,monza,Autodromo Nazionale di Monza,Italy,Monza,2007-09-09,https://en.wikipedia.org/wiki/2007_Italian_Grand_Prix
2007,14,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,Belgium,Spa,2007-09-16,https://en.wikipedia.org/wiki/2007_Belgian_Grand_Prix
2007,15,Japanese Grand Prix,fuji,Fuji Speedway,Japan,Oyama,2007-09-30,https://en.wikipedia.org/wiki/2007_Japanese_Grand_Prix
2007,16,Chinese Grand Prix,shanghai,Shanghai International Circuit,China,Shanghai,2007-10-07,https://en.wikipedia.org/wiki/2007_Chinese_Grand_Prix
2007,17,Brazilian Grand Prix,interlagos,Autódromo José Carlos Pace,Brazil,São Paulo,2007-10-21,https://en.wikipedia.org/wiki/2007_Brazilian_Grand_Prix
2008,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Australia,Melbourne,2008-03-16,https://en.wikipedia.org/wiki/2008_Australian_Grand_Prix
2008,2,Malaysian Grand Prix,sepang,Sepang International Circuit,Malaysia,Kuala Lumpur,2008-03-23,https://en.wikipedia.org/wiki/2008_Malaysian_Grand_Prix
2008,3,Bahrain Grand Prix,bahrain,Bahrain International Circuit,Bahrain,Sakhir,2008-04-06,https://en.wikipedia.org/wiki/2008_Bahrain_Grand_Prix
2008,4,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,Spain,Barcelona,2008-04-27,https://en.wikipedia.org/wiki/2008_Spanish_Grand_Prix
2008,5,Turkish Grand Prix,istanbul,Istanbul Park,Turkey,Istanbul,2008-05-11,https://en.wikipedia.org/wiki/2008_Turkish_Grand_Prix
2008,6,Monaco Grand Prix,monaco,Circuit de Monaco,Monaco,Monte Carlo,2008-05-25,https://en.wikipedia.org/wiki/2008_Monaco_Grand_Prix
2008,7,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,Canada,Montreal,2008-06-08,https://en.wikipedia.org/wiki/2008_Canadian_Grand_Prix
2008,8,French Grand Prix,magny_cours,Circuit de Nevers Magny-Cours,France,Magny Cours,2008-06-22,https://en.wikipedia.org/wiki/2008_French_Grand_Prix
2008,9,British Grand Prix,silverstone,Silverstone Circuit,UK,Silverstone,2008-07-06,https://en.wikipedia.org/wiki/2008_British_Grand_Prix
2008,10,German Grand Prix,hockenheimring,Hockenheimring,Germany,Hockenheim,2008-07-20,https://en.wikipedia.org/wiki/2008_German_Grand_Prix
2008,11,Hungarian Grand Prix,hungaroring,Hungaroring,Hungary,Budapest,2008-08-03,https://en.wikipedia.org/wiki/2008_Hungarian_Grand_Prix
2008,12,European Grand Prix,valencia,Valencia Street Circuit,Spain,Valencia,2008-08-24,https://en.wikipedia.org/wiki/2008_European_Grand_Prix
2008,13,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,Belgium,Spa,2008-09-07,https://en.wikipedia.org/wiki/2008_Belgian_Grand_Prix
2008,14,Italian Grand Prix,monza,Autodromo Nazionale di Monza,Italy,Monza,2008-09-14,https://en.wikipedia.org/wiki/2008_Italian_Grand_Prix
2008,15,Singapore Grand Prix,marina_bay,Marina Bay Street Circuit,Singapore,Marina Bay,2008-09-28,https://en.wikipedia.org/wiki/2008_Singapore_Grand_Prix
2008,16,Japanese Grand Prix,fuji,Fuji Speedway,Japan,Oyama,2008-10-12,https://en.wikipedia.org/wiki/2008_Japanese_Grand_Prix
2008,17,Chinese Grand Prix,shanghai,Shanghai International Circuit,China,Shanghai,2008-10-19,https://en.wikipedia.org/wiki/2008_Chinese_Grand_Prix
2008,18,Brazilian Grand Prix,interlagos,Autódromo José Carlos Pace,Brazil,São Paulo,2008-11-02,https://en.wikipedia.org/wiki/2008_Brazilian_Grand_Prix
2009,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Australia,Melbourne,2009-03-29,https://en.wikipedia.org/wiki/2009_Australian_Grand_Prix
2009,2,Malaysian Grand Prix,sepang,Sepang International Circuit,Malaysia,Kuala Lumpur,2009-04-05,https://en.wikipedia.org/wiki/2009_Malaysian_Grand_Prix
2009,3,Chinese Grand Prix,shanghai,Shanghai International Circuit,China,Shanghai,2009-04-19,https://en.wikipedia.org/wiki/2009_Chinese_Grand_Prix
